Ship Mode,Segment,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profitable
46,3,1,0,48185,1,1,14,211.96,4,0.0,8.4784,1
47,1,1,33,19901,2,0,6,45.0,3,0.0,4.95,1
48,1,1,33,19901,2,0,16,21.8,2,0.0,6.104,1
49,1,1,11,47150,1,1,9,38.22,6,0.0,17.9634,1
50,1,1,11,47150,1,1,1,75.18,6,0.0,35.3346,1
51,1,1,11,47150,1,2,8,6.16,2,0.0,2.9568,1
52,1,1,11,47150,1,2,0,89.99,1,0.0,17.0981,1
53,1,0,31,10024,2,1,2,15.26,7,0.0,6.2566,1
54,1,0,31,10024,2,0,16,1029.95,5,0.0,298.6855,1
55,2,1,31,12180,2,1,14,208.56,6,0.0,52.14,1
56,2,1,31,12180,2,1,10,32.4,5,0.0,15.552,1
57,2,1,31,12180,2,2,0,319.41,5,0.1,7.098,1
58,2,1,31,12180,2,1,10,14.56,2,0.0,6.9888,1
59,2,1,31,12180,2,0,6,30.0,2,0.0,3.3,1
60,2,1,31,12180,2,1,9,48.48,4,0.2,16.362,1
61,2,1,31,12180,2,1,3,1.68,1,0.0,0.84,1
62,1,1,5,90004,3,0,6,13.98,2,0.0,6.1512,1
63,1,1,5,90004,3,1,9,25.824,6,0.2,9.3612,1
64,1,1,5,90004,3,1,10,146.73,3,0.0,68.9631,1
65,1,1,5,90004,3,2,8,79.76,4,0.0,22.3328,1
66,1,2,30,60610,1,2,0,213.115,5,0.3,-15.2225,0
67,1,0,41,85234,3,1,3,1113.024,8,0.2,111.3024,1
68,1,0,41,85234,3,0,16,167.968,4,0.2,62.988,1
69,2,1,28,22153,0,1,10,75.88,2,0.0,35.6636,1
70,1,1,31,10009,2,1,9,4.616,1,0.2,1.731,1
71,3,1,0,49201,1,1,10,19.05,3,0.0,8.763,1
72,1,1,32,38109,0,2,0,831.936,8,0.2,-114.3912,0
73,1,1,32,38109,0,2,8,97.04,2,0.2,1.213,1
74,1,1,32,38109,0,1,14,72.784,1,0.2,-18.196,0
75,2,0,38,77041,1,1,9,1.248,3,0.8,-1.9344,0
76,2,0,38,77041,1,2,8,9.708,3,0.6,-5.8248,0
77,2,0,38,77041,1,1,14,27.24,3,0.2,2.724,1
78,3,1,38,77070,1,2,8,19.3,5,0.6,-14.475,0
79,2,0,16,35601,0,1,13,208.16,1,0.0,56.2032,1
80,2,0,16,35601,0,1,9,16.74,3,0.0,8.0352,1
81,1,1,5,94122,3,1,3,14.9,5,0.0,4.172,1
82,1,1,5,94122,3,1,14,21.39,1,0.0,6.2031,1
83,1,0,37,27707,0,1,7,200.984,7,0.2,62.8075,1
84,2,2,30,60623,1,1,14,230.376,3,0.2,-48.9549,0
85,3,1,9,29203,0,2,0,301.96,2,0.0,33.2156,1
86,1,1,3,55901,1,0,6,19.99,1,0.0,6.7966,1
87,1,1,3,55901,1,1,1,6.16,2,0.0,2.9568,1
88,3,2,38,77095,1,1,14,158.368,7,0.2,13.8572,1
89,1,0,5,90036,3,1,3,20.1,3,0.0,6.633,1
90,1,0,5,90036,3,0,16,73.584,2,0.2,8.2782,1
91,1,0,5,90036,3,1,10,6.48,1,0.0,3.1104,1
92,3,1,3,55407,1,1,10,12.96,2,0.0,6.2208,1
93,3,1,3,55407,1,2,8,53.34,3,0.0,16.5354,1
94,3,1,3,55407,1,1,9,32.96,2,0.0,16.1504,1
95,1,2,12,97206,3,1,9,5.682,1,0.7,-3.788,0
96,3,2,31,10009,2,2,8,96.53,7,0.0,40.5426,1
97,2,1,5,94122,3,1,9,51.312,3,0.2,17.9592,1
98,1,0,3,55106,1,1,13,77.88,6,0.0,22.5852,1
99,1,2,30,60610,1,1,10,64.624,7,0.2,22.6184,1
100,1,2,30,60610,1,0,6,95.976,3,0.2,-10.7973,0
101,1,2,30,60610,1,1,9,1.788,3,0.8,-3.0396,0
102,3,1,3,55901,1,1,10,23.92,4,0.0,11.7208,1
103,1,1,17,80013,3,0,6,238.896,6,0.2,-26.8758,0
104,1,1,17,80013,3,2,8,102.36,3,0.2,-3.8385,0
105,1,1,17,80013,3,1,9,36.882,3,0.7,-25.8174,0
106,1,1,37,28205,0,0,6,74.112,8,0.2,17.6016,1
107,1,1,37,28205,0,0,16,27.992,1,0.2,2.0994,1
108,1,1,37,28205,0,1,3,3.304,1,0.2,1.0738,1
109,1,2,30,60462,1,0,6,339.96,5,0.2,67.992,1
110,1,0,31,10035,2,2,8,41.96,2,0.0,10.9096,1
111,1,1,15,50322,1,1,3,75.96,2,0.0,22.788,1
112,1,1,15,50322,1,1,9,27.24,6,0.0,13.3476,1
113,3,1,47,43229,2,1,2,40.096,14,0.2,14.5348,1
114,3,1,47,43229,2,1,7,4.72,2,0.2,1.652,1
115,3,1,47,43229,2,1,10,23.976,3,0.2,7.4925,1
116,3,1,47,43229,2,1,7,130.464,6,0.2,44.0316,1
117,1,1,23,98103,3,2,15,787.53,3,0.0,165.3813,1
118,1,0,32,37620,0,1,9,157.794,1,0.7,-115.7156,0
119,2,1,33,19805,2,2,8,47.04,3,0.0,18.3456,1
120,2,1,33,19805,2,1,9,30.84,4,0.0,13.878,1
121,2,1,33,19805,2,1,14,226.56,6,0.0,63.4368,1
122,2,1,33,19805,2,1,7,115.02,9,0.0,51.759,1
123,2,1,33,19805,2,0,16,68.04,7,0.0,19.7316,1
124,3,2,38,77041,1,2,0,600.558,3,0.3,-8.5794,0
125,1,1,30,61701,1,2,15,617.7,6,0.5,-407.682,0
126,1,1,41,85023,3,1,9,2.388,2,0.7,-1.8308,0
127,1,1,41,85023,3,1,14,243.992,7,0.2,30.499,1
128,3,2,5,90004,3,2,0,81.424,2,0.2,-9.1602,0
129,3,2,5,90004,3,2,8,238.56,3,0.0,26.2416,1
130,2,0,47,43229,2,0,16,59.97,5,0.4,-11.994,0
131,2,0,47,43229,2,1,10,78.304,2,0.2,29.364,1
132,2,0,47,43229,2,1,2,21.456,9,0.2,6.9732,1
133,1,1,5,95661,3,1,10,20.04,3,0.0,9.6192,1
134,1,1,5,95661,3,1,10,35.44,1,0.0,16.6568,1
135,1,1,5,95661,3,1,3,11.52,4,0.0,3.456,1
136,1,1,5,95661,3,1,2,4.02,2,0.0,1.9698,1
137,1,1,5,95661,3,1,9,76.176,3,0.2,26.6616,1
138,1,1,5,95661,3,1,12,65.88,6,0.0,18.4464,1
139,1,1,5,95661,3,2,8,43.12,14,0.0,20.6976,1
140,3,0,44,19140,2,2,8,82.8,2,0.2,10.35,1
141,1,0,5,94122,3,1,3,8.82,3,0.0,2.3814,1
142,1,0,5,94122,3,1,7,10.86,3,0.0,5.1042,1
143,1,0,5,94122,3,1,10,143.7,3,0.0,68.976,1
144,1,1,18,64055,1,1,13,839.43,3,0.0,218.2518,1
145,1,1,5,91104,3,1,14,671.93,7,0.0,20.1579,1
146,1,2,47,43055,2,2,8,93.888,4,0.2,12.9096,1
147,1,0,7,53132,1,0,16,384.45,11,0.0,103.8015,1
148,1,0,7,53132,1,0,16,149.97,3,0.0,5.9988,1
149,1,0,7,53132,1,2,0,1951.84,8,0.0,585.552,1
150,1,0,7,53132,1,1,9,171.55,5,0.0,80.6285,1
151,2,2,41,85254,3,1,13,157.92,5,0.2,17.766,1
152,2,2,41,85254,3,0,16,203.184,2,0.2,15.2388,1
153,2,0,5,95123,3,1,10,58.38,7,0.0,26.271,1
154,2,0,5,95123,3,1,10,105.52,4,0.0,48.5392,1
155,2,0,5,95123,3,1,14,80.88,6,0.0,21.0288,1
156,1,2,23,98105,3,1,3,6.63,3,0.0,1.7901,1
157,3,1,23,98115,3,2,0,457.568,2,0.2,51.4764,1
158,1,1,46,73034,1,1,1,14.62,2,0.0,6.8714,1
159,1,1,46,73034,1,0,16,944.93,7,0.0,236.2325,1
160,2,1,5,90045,3,1,10,5.98,1,0.0,2.691,1
161,3,1,44,19134,2,0,6,54.384,2,0.2,1.3596,1
162,1,1,10,88220,3,1,7,28.4,5,0.0,13.348,1
163,1,1,23,98115,3,1,9,27.68,2,0.2,9.688,1
164,1,1,38,78207,1,1,3,9.936,3,0.2,2.7324,1
165,1,1,38,78207,1,0,11,8159.952,8,0.4,-1359.992,0
166,1,1,38,78207,1,1,14,275.928,3,0.2,-58.6347,0
167,1,1,38,78207,1,2,0,1740.06,9,0.3,-24.858,0
168,1,1,38,78207,1,1,3,32.064,6,0.2,6.8136,1
169,1,1,38,78207,1,1,13,177.98,5,0.8,-453.849,0
170,1,1,38,78207,1,0,16,143.976,3,0.2,8.9985,1
171,1,1,5,90004,3,1,10,20.94,3,0.0,9.8418,1
172,1,1,5,90004,3,1,10,110.96,2,0.0,53.2608,1
173,1,1,5,90004,3,2,0,340.144,7,0.2,21.259,1
174,1,0,30,60623,1,1,13,52.448,2,0.8,-131.12,0
175,1,0,30,60623,1,1,1,20.16,4,0.2,6.552,1
176,3,1,38,77036,1,1,13,97.264,4,0.8,-243.16,0
177,3,1,47,43055,2,2,0,396.802,7,0.3,-11.3372,0
178,3,1,47,43055,2,1,12,15.88,5,0.2,-3.7715,0
179,1,2,31,10009,2,1,3,3.28,1,0.0,1.4104,1
180,3,0,30,62521,1,1,14,24.816,2,0.2,1.8612,1
181,3,0,30,62521,1,0,6,408.744,7,0.2,76.6395,1
182,3,2,4,71203,0,0,16,503.96,4,0.0,131.0296,1
183,3,2,4,71203,0,0,16,149.95,5,0.0,41.986,1
184,3,2,4,71203,0,0,6,29.0,2,0.0,7.25,1
185,1,1,19,6824,2,1,9,7.16,2,0.0,3.4368,1
186,1,2,5,90032,3,0,6,176.8,8,0.0,22.984,1
187,1,0,38,75051,1,1,14,37.224,3,0.2,3.7224,1
188,1,0,38,75051,1,1,10,20.016,3,0.2,6.255,1
189,2,2,31,10035,2,2,5,899.136,4,0.2,112.392,1
190,2,2,31,10035,2,0,16,71.76,6,0.0,20.0928,1
191,2,2,31,10035,2,1,10,51.84,8,0.0,24.8832,1
192,2,2,31,10035,2,2,5,626.352,3,0.2,46.9764,1
193,2,2,31,10035,2,1,3,19.9,5,0.0,6.567,1
194,1,0,5,92374,3,1,7,14.28,7,0.0,6.7116,1
195,1,1,47,45011,2,1,3,7.408,2,0.2,1.2038,1
196,1,1,47,45011,2,1,3,6.048,3,0.2,1.5876,1
197,1,2,29,7090,2,1,14,46.26,3,0.0,12.0276,1
198,1,0,44,19120,2,1,9,2.946,2,0.7,-2.2586,0
199,1,0,44,19120,2,1,10,16.056,3,0.2,5.8203,1
200,1,1,47,44312,2,1,10,21.744,3,0.2,6.795,1
201,2,1,17,80219,3,2,15,218.75,2,0.5,-161.875,0
202,2,1,17,80219,3,1,13,2.6,1,0.2,0.2925,1
203,3,1,38,75220,1,1,13,66.284,2,0.8,-178.9668,0
204,1,0,32,37064,0,2,8,35.168,7,0.2,9.6712,1
205,1,1,5,90604,3,0,16,444.768,4,0.2,44.4768,1
206,1,1,0,48601,1,1,14,83.92,4,0.0,5.8744,1
207,1,1,0,48601,1,0,16,131.98,2,0.0,35.6346,1
208,1,1,0,48601,1,1,9,15.92,4,0.0,7.4824,1
209,1,1,0,48601,1,1,2,52.29,9,0.0,16.2099,1
210,1,1,0,48601,1,1,14,91.99,1,0.0,3.6796,1
211,3,0,38,75220,1,0,6,20.8,2,0.2,6.5,1
212,1,0,47,44256,2,1,1,23.68,2,0.2,8.88,1
213,1,0,47,44256,2,2,5,452.45,5,0.5,-244.323,0
214,1,0,47,44256,2,0,16,62.982,3,0.4,-14.6958,0
215,1,0,47,44256,2,0,11,1188.0,9,0.7,-950.4,0
216,1,0,47,44256,2,0,6,89.584,2,0.2,4.4792,1
217,1,1,5,90032,3,1,14,93.06,6,0.0,26.0568,1
218,1,1,5,90032,3,0,16,302.376,3,0.2,22.6782,1
219,2,1,47,43017,2,1,2,5.584,2,0.2,1.8148,1
220,2,1,47,43017,2,1,10,22.704,6,0.2,8.2302,1
221,2,1,47,43017,2,1,9,19.776,4,0.7,-13.8432,0
222,2,1,47,43017,2,2,8,72.704,4,0.2,19.0848,1
223,2,1,47,43017,2,0,11,479.988,4,0.7,-383.9904,0
224,2,1,47,43017,2,1,3,27.168,2,0.2,2.7168,1
225,1,0,0,48227,1,1,3,2.2,1,0.0,0.968,1
226,1,0,0,48227,1,2,15,622.45,5,0.0,136.939,1
227,1,0,0,48227,1,1,14,21.98,1,0.0,0.2198,1
228,1,1,32,38401,0,2,0,161.568,2,0.2,-28.2744,0
229,1,1,32,38401,0,2,0,389.696,8,0.2,43.8408,1
230,1,0,37,28205,0,1,9,18.648,7,0.7,-12.432,0
231,1,2,2,33614,0,2,15,233.86,2,0.45,-102.048,0
232,1,2,2,33614,0,2,15,620.6145,3,0.45,-248.2458,0
233,1,2,2,33614,0,1,9,5.328,2,0.7,-3.552,0
234,1,2,2,33614,0,2,8,258.072,3,0.2,0.0,0
235,1,2,2,33614,0,0,6,617.976,3,0.2,-7.7247,0
236,1,0,5,95051,3,1,10,10.56,2,0.0,4.752,1
237,3,1,30,60610,1,1,10,25.92,5,0.2,9.396,1
238,3,1,30,60610,1,2,8,419.68,5,0.6,-356.728,0
239,3,1,30,60610,1,2,8,11.688,3,0.6,-4.6752,0
240,3,1,30,60610,1,0,16,31.984,2,0.2,11.1944,1
241,3,1,30,60610,1,2,15,177.225,5,0.5,-120.513,0
242,3,1,30,60610,1,2,8,4.044,3,0.6,-2.8308,0
243,3,1,30,60610,1,1,3,7.408,2,0.2,1.2038,1
244,3,2,3,55044,1,2,0,2001.86,7,0.0,580.5394,1
245,3,2,3,55044,1,1,14,166.72,2,0.0,41.68,1
246,3,2,3,55044,1,1,10,47.88,6,0.0,23.94,1
247,3,2,3,55044,1,1,13,1503.25,5,0.0,496.0725,1
248,3,2,3,55044,1,1,10,25.92,4,0.0,12.4416,1
249,3,1,5,94109,3,2,0,321.568,2,0.2,28.1372,1
250,1,1,5,92037,3,1,10,7.61,1,0.0,3.5767,1
251,1,1,5,92037,3,0,6,3347.37,13,0.0,636.0003,1
252,2,1,31,10024,2,1,14,80.58,6,0.0,22.5624,1
253,2,1,31,10024,2,1,7,361.92,4,0.0,162.864,1
254,1,0,30,60623,1,2,8,12.132,9,0.6,-8.4924,0
255,1,0,30,60623,1,1,14,82.368,2,0.2,-19.5624,0
256,1,0,30,60623,1,1,14,53.92,5,0.2,4.044,1
257,1,0,30,60623,1,0,16,647.904,6,0.2,56.6916,1
258,3,1,31,10009,2,0,6,20.37,3,0.0,6.9258,1
259,3,1,31,10009,2,1,14,221.55,3,0.0,6.6465,1
260,3,1,31,10009,2,1,9,17.52,5,0.2,6.132,1
261,1,0,38,77506,1,1,13,1.624,2,0.8,-4.466,0
262,3,0,38,77036,1,0,11,3059.982,3,0.4,-509.997,0
263,3,0,38,77036,1,0,11,2519.958,7,0.4,-251.9958,0
264,1,1,30,60610,1,0,16,328.224,4,0.2,28.7196,1
265,1,1,5,94513,3,0,6,79.9,2,0.0,35.156,1
266,1,0,37,27514,0,1,3,14.016,3,0.2,4.7304,1
267,1,1,29,7960,2,1,2,7.56,6,0.0,0.3024,1
268,1,0,47,45231,2,1,14,37.208,1,0.2,-7.4416,0
269,1,0,47,45231,2,1,7,57.576,3,0.2,21.591,1
270,3,0,5,94110,3,1,14,725.84,4,0.0,210.4936,1
271,2,1,5,94109,3,0,6,209.93,7,0.0,92.3692,1
272,2,1,5,94109,3,2,8,5.28,3,0.0,2.3232,1
273,2,1,5,94109,3,1,9,10.92,3,0.2,4.095,1
274,2,0,5,90301,3,1,10,8.82,2,0.0,4.0572,1
275,2,0,5,90301,3,1,3,5.98,1,0.0,1.5548,1
276,1,0,44,19140,2,1,10,11.648,2,0.2,4.0768,1
277,1,0,44,19140,2,1,10,18.176,4,0.2,5.9072,1
278,1,0,44,19140,2,1,14,59.712,6,0.2,5.9712,1
279,1,0,44,19140,2,1,1,24.84,3,0.2,8.694,1
280,3,1,38,77070,1,1,9,2.08,5,0.8,-3.432,0
281,3,1,38,77070,1,0,16,1114.4,7,0.2,376.11,1
282,1,1,5,90004,3,2,15,1038.84,5,0.2,51.942,1
283,1,1,12,97206,3,1,10,141.76,5,0.2,47.844,1
284,1,1,12,97206,3,0,6,239.8,5,0.2,47.96,1
285,1,1,12,97206,3,1,10,31.104,6,0.2,10.8864,1
286,3,0,2,33319,0,1,9,254.058,7,0.7,-169.372,0
287,3,0,2,33319,0,1,13,194.528,2,0.2,24.316,1
288,3,0,2,33319,0,1,12,961.48,5,0.2,-204.3145,0
289,3,2,47,43229,2,1,2,19.096,7,0.2,6.6836,1
290,3,2,47,43229,2,1,1,18.496,8,0.2,6.2424,1
291,3,2,47,43229,2,0,6,255.984,2,0.2,54.3966,1
292,3,2,47,43229,2,2,5,86.97,3,0.5,-48.7032,0
293,2,0,17,80906,3,2,8,300.416,8,0.2,78.8592,1
294,2,0,17,80906,3,2,0,230.352,3,0.2,20.1558,1
295,2,0,17,80906,3,2,8,218.352,3,0.2,-24.5646,0
296,2,0,17,80906,3,1,9,78.6,5,0.7,-62.88,0
297,2,0,17,80906,3,1,2,27.552,3,0.2,9.2988,1
298,1,0,29,7109,2,1,10,32.4,5,0.0,15.552,1
299,1,0,29,7109,2,1,14,1082.48,8,0.0,10.8248,1
300,1,0,29,7109,2,1,10,56.91,3,0.0,27.3168,1
301,1,0,29,7109,2,2,8,77.6,4,0.0,38.024,1
302,1,0,29,7109,2,1,9,14.28,1,0.0,6.5688,1
303,1,1,30,60623,1,2,15,219.075,3,0.5,-131.445,0
304,3,0,31,10024,2,2,8,26.8,2,0.0,12.864,1
305,1,0,0,48180,1,1,3,9.84,3,0.0,2.8536,1
306,1,2,29,8701,2,1,9,45.48,3,0.0,20.9208,1
307,1,2,29,8701,2,1,3,289.2,6,0.0,83.868,1
308,2,1,28,22204,0,1,3,4.89,1,0.0,2.0049,1
309,3,0,17,80004,3,2,8,15.136,4,0.2,3.5948,1
310,3,0,17,80004,3,2,0,466.768,2,0.2,52.5114,1
311,3,0,17,80004,3,2,8,15.232,1,0.2,1.7136,1
312,3,0,17,80004,3,1,1,6.264,3,0.2,2.0358,1
313,1,0,29,7601,2,2,8,87.54,3,0.0,37.6422,1
314,1,0,2,33710,0,0,16,178.384,2,0.2,22.298,1
315,1,0,2,33710,0,1,10,15.552,3,0.2,5.4432,1
316,2,0,44,19143,2,1,3,99.136,4,0.2,8.6744,1
317,1,2,31,10024,2,2,0,135.882,1,0.1,24.1568,1
318,1,2,31,10024,2,0,11,3991.98,2,0.0,1995.99,1
319,1,2,31,10024,2,0,16,275.94,6,0.0,80.0226,1
320,1,2,31,10024,2,0,6,360.0,4,0.0,129.6,1
321,1,2,31,10024,2,1,14,43.57,1,0.0,13.071,1
322,1,0,5,90805,3,1,2,7.16,2,0.0,3.58,1
323,1,0,5,92345,3,1,9,251.52,6,0.2,81.744,1
324,1,0,5,92345,3,0,6,99.99,1,0.0,34.9965,1
325,3,0,32,37130,0,2,8,15.992,1,0.2,0.9995,1
326,2,1,44,19143,2,0,16,290.898,3,0.4,-67.8762,0
327,2,1,44,19143,2,1,14,54.224,2,0.2,3.389,1
328,2,1,44,19143,2,2,0,786.744,4,0.3,-258.5016,0
329,2,1,44,19143,2,1,1,100.24,10,0.2,33.831,1
330,2,1,44,19143,2,1,9,37.764,6,0.7,-27.6936,0
331,3,1,44,19134,2,0,16,82.8,2,0.4,-20.7,0
332,3,1,44,19134,2,1,9,20.724,2,0.7,-13.816,0
333,3,1,44,19134,2,1,9,4.896,3,0.7,-3.4272,0
334,3,1,5,90045,3,1,9,4.752,1,0.2,1.6038,1
335,3,1,5,90045,3,0,4,959.984,2,0.2,335.9944,1
336,3,1,5,90045,3,1,9,14.368,4,0.2,4.49,1
337,1,0,5,94122,3,1,9,7.712,2,0.2,2.7956,1
338,1,0,5,94122,3,2,15,698.352,3,0.2,-17.4588,0
339,3,1,40,84041,3,1,2,4.96,4,0.0,2.3312,1
340,3,0,44,19140,2,1,3,17.856,4,0.2,1.116,1
341,3,0,44,19140,2,1,9,509.97,10,0.7,-407.976,0
342,3,0,44,19140,2,1,2,30.992,13,0.2,10.0724,1
343,3,0,44,19140,2,0,16,71.928,12,0.4,8.3916,1
344,1,1,38,78745,1,1,14,88.8,4,0.2,-2.22,0
345,1,1,5,94122,3,0,16,47.976,3,0.2,4.7976,1
346,1,1,13,1852,2,1,3,7.56,3,0.0,3.0996,1
347,1,1,13,1852,2,1,10,24.56,2,0.0,11.5432,1
348,1,1,13,1852,2,1,3,12.96,2,0.0,4.1472,1
349,2,2,31,10009,2,0,6,6.79,1,0.0,2.3086,1
350,2,2,31,10009,2,1,10,24.56,2,0.0,11.5432,1
351,2,2,31,10009,2,1,9,3.048,1,0.2,1.0668,1
352,2,2,31,10009,2,1,10,49.12,4,0.0,23.0864,1
353,2,2,31,10009,2,1,9,4355.168,4,0.2,1415.4296,1
354,1,1,31,10035,2,2,5,388.704,6,0.2,-4.8588,0
355,1,1,31,10035,2,1,7,8.26,2,0.0,3.7996,1
356,1,1,31,10035,2,1,3,17.04,4,0.0,6.9864,1
357,1,1,31,10035,2,1,10,34.4,5,0.0,15.824,1
358,1,0,37,28205,0,1,10,36.24,5,0.2,11.325,1
359,2,0,34,31907,0,1,13,647.84,8,0.0,168.4384,1
360,2,0,34,31907,0,1,1,20.7,2,0.0,9.936,1
361,1,1,31,10009,2,1,1,20.7,2,0.0,9.936,1
362,1,1,31,10009,2,2,0,488.646,3,0.1,86.8704,1
363,1,1,31,10009,2,1,3,5.56,2,0.0,1.4456,1
364,1,1,31,10009,2,2,8,47.12,8,0.0,20.7328,1
365,1,1,5,94109,3,1,14,211.96,4,0.0,8.4784,1
366,0,0,19,6040,2,1,9,23.2,4,0.0,10.44,1
367,0,0,19,6040,2,1,12,7.36,2,0.0,0.1472,1
368,0,0,19,6040,2,1,14,104.79,7,0.0,29.3412,1
369,0,0,19,6040,2,2,5,1043.92,4,0.0,271.4192,1
370,1,1,38,78550,1,1,10,25.92,5,0.2,9.396,1
371,1,1,38,78550,1,1,14,53.424,3,0.2,4.6746,1
372,1,1,41,85705,3,1,9,8.16,5,0.7,-5.712,0
373,1,1,41,85705,3,0,6,1023.936,8,0.2,179.1888,1
374,1,1,41,85705,3,1,3,9.24,1,0.2,0.924,1
375,1,1,41,85705,3,0,6,479.04,10,0.2,-29.94,0
376,2,0,30,62301,1,1,10,99.136,4,0.2,30.98,1
377,1,0,13,2038,2,2,15,1488.424,7,0.3,-297.6848,0
378,1,1,38,77095,1,1,13,8.652,3,0.8,-20.3322,0
379,1,1,38,77095,1,1,14,23.832,3,0.2,2.6811,1
380,1,1,38,77095,1,1,9,12.176,4,0.8,-18.8728,0
381,2,0,5,94109,3,1,10,50.96,7,0.0,25.48,1
382,2,0,5,94109,3,1,9,49.536,3,0.2,17.3376,1
383,3,0,0,48180,1,0,6,41.9,2,0.0,8.799,1
384,1,1,2,33024,0,2,15,375.4575,3,0.45,-157.0095,0
385,1,1,2,33024,0,0,6,83.976,3,0.2,-1.0497,0
386,1,0,44,19140,2,0,11,482.34,4,0.7,-337.638,0
387,1,0,44,19140,2,2,8,2.96,1,0.2,0.777,1
388,2,1,47,45231,2,1,3,2.624,1,0.2,0.4264,1
389,1,1,31,10009,2,1,9,23.36,4,0.2,7.884,1
390,1,1,31,10009,2,0,6,39.98,2,0.0,13.5932,1
391,3,1,23,98198,3,0,16,246.384,2,0.2,27.7182,1
392,3,1,23,98198,3,0,4,1799.97,3,0.0,701.9883,1
393,3,0,30,61604,1,1,9,12.462,3,0.8,-20.5623,0
394,1,2,43,89115,3,1,9,75.792,3,0.2,25.5798,1
395,3,0,35,2886,2,1,14,49.96,2,0.0,9.4924,1
396,3,0,35,2886,2,1,10,12.96,2,0.0,6.2208,1
397,1,2,0,49201,1,1,12,70.12,4,0.0,21.036,1
398,3,1,38,77036,1,1,14,35.952,3,0.2,3.5952,1
399,3,1,38,77036,1,2,5,2396.2656,4,0.32,-317.1528,0
400,3,1,38,77036,1,1,14,131.136,4,0.2,-32.784,0
401,3,1,38,77036,1,0,6,57.584,2,0.2,0.7198,1
402,2,1,2,33180,0,1,10,9.568,2,0.2,3.4684,1
403,1,0,37,28403,0,1,3,39.072,6,0.2,9.768,1
404,1,1,31,10024,2,1,13,35.91,3,0.0,9.6957,1
405,1,1,5,94110,3,0,6,179.95,5,0.0,37.7895,1
406,1,1,5,94110,3,0,4,1199.976,3,0.2,434.9913,1
407,1,1,5,94110,3,1,10,27.15,5,0.0,13.3035,1
